"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"ACAD9","ENSG00000177646","","acyl-CoA dehydrogenase family member 9(ACAD9)","Homo sapiens"
"ACADL","ENSG00000115361","","acyl-CoA dehydrogenase long chain(ACADL)","Homo sapiens"
"ACADM","ENSG00000117054","","acyl-CoA dehydrogenase medium chain(ACADM)","Homo sapiens"
"ACADS","ENSG00000122971","","acyl-CoA dehydrogenase short chain(ACADS)","Homo sapiens"
"ACADSB","ENSG00000196177","","acyl-CoA dehydrogenase short/branched chain(ACADSB)","Homo sapiens"
"ACADVL","ENSG00000072778","","acyl-CoA dehydrogenase very long chain(ACADVL)","Homo sapiens"
"ACAP1","ENSG00000072818","","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1(ACAP1)","Homo sapiens"
"ACAP2","ENSG00000114331","","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2(ACAP2)","Homo sapiens"
"ACAP3","ENSG00000131584","","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3(ACAP3)","Homo sapiens"
"ACAT1","ENSG00000075239","","acetyl-CoA acetyltransferase 1(ACAT1)","Homo sapiens"
"ACAT2","ENSG00000120437","","acetyl-CoA acetyltransferase 2(ACAT2)","Homo sapiens"
"ACBD3","ENSG00000182827","","acyl-CoA binding domain containing 3(ACBD3)","Homo sapiens"
"ACBD4","ENSG00000181513","","acyl-CoA binding domain containing 4(ACBD4)","Homo sapiens"
"ACBD5","ENSG00000107897","","acyl-CoA binding domain containing 5(ACBD5)","Homo sapiens"
"ACBD6","ENSG00000230124","","acyl-CoA binding domain containing 6(ACBD6)","Homo sapiens"
"ACCS","ENSG00000110455","","1-aminocyclopropane-1-carboxylate synthase homolog (inactive)(ACCS)","Homo sapiens"
"ACD","ENSG00000102977","","ACD shelterin complex subunit and telomerase recruitment factor(ACD)","Homo sapiens"
"ACE","ENSG00000159640,ENSG00000264813","","angiotensin I converting enzyme(ACE)","Homo sapiens"
"ACE2","ENSG00000130234","","angiotensin converting enzyme 2(ACE2)","Homo sapiens"
"ACER2","ENSG00000177076","","alkaline ceramidase 2(ACER2)","Homo sapiens"
"ACER3","ENSG00000078124","","alkaline ceramidase 3(ACER3)","Homo sapiens"
"ACHE","ENSG00000087085","","acetylcholinesterase (Yt blood group)(ACHE)","Homo sapiens"
"ACIN1","ENSG00000100813","","apoptotic chromatin condensation inducer 1(ACIN1)","Homo sapiens"
"ACKR1","ENSG00000213088","","atypical chemokine receptor 1 (Duffy blood group)(ACKR1)","Homo sapiens"
"ACKR2","ENSG00000144648","","atypical chemokine receptor 2(ACKR2)","Homo sapiens"
"ACKR3","ENSG00000144476","","atypical chemokine receptor 3(ACKR3)","Homo sapiens"
"ACKR4","ENSG00000129048","","atypical chemokine receptor 4(ACKR4)","Homo sapiens"
"ACLY","ENSG00000131473","","ATP citrate lyase(ACLY)","Homo sapiens"
"ACO1","ENSG00000122729","","aconitase 1(ACO1)","Homo sapiens"
"ACO2","ENSG00000100412","","aconitase 2(ACO2)","Homo sapiens"
"ACOT1","ENSG00000184227","","acyl-CoA thioesterase 1(ACOT1)","Homo sapiens"
"ACOT11","ENSG00000162390","","acyl-CoA thioesterase 11(ACOT11)","Homo sapiens"
"ACOT13","ENSG00000112304","","acyl-CoA thioesterase 13(ACOT13)","Homo sapiens"
"ACOT2","ENSG00000119673","","acyl-CoA thioesterase 2(ACOT2)","Homo sapiens"
"ACOT4","ENSG00000177465","","acyl-CoA thioesterase 4(ACOT4)","Homo sapiens"
"ACOT7","ENSG00000097021","","acyl-CoA thioesterase 7(ACOT7)","Homo sapiens"
"ACOT8","ENSG00000101473","","acyl-CoA thioesterase 8(ACOT8)","Homo sapiens"
"ACOT9","ENSG00000123130","","acyl-CoA thioesterase 9(ACOT9)","Homo sapiens"
"ACOX1","ENSG00000161533","","acyl-CoA oxidase 1(ACOX1)","Homo sapiens"
"ACOX2","ENSG00000168306","","acyl-CoA oxidase 2(ACOX2)","Homo sapiens"
"ACOX3","ENSG00000087008","","acyl-CoA oxidase 3, pristanoyl(ACOX3)","Homo sapiens"
"ACOXL","ENSG00000153093","","acyl-CoA oxidase like(ACOXL)","Homo sapiens"
"ACP1","ENSG00000143727","","acid phosphatase 1(ACP1)","Homo sapiens"
"ACP2","ENSG00000134575","","acid phosphatase 2, lysosomal(ACP2)","Homo sapiens"
"ACP3","ENSG00000014257","","acid phosphatase 3(ACP3)","Homo sapiens"
"ACP6","ENSG00000162836","","acid phosphatase 6, lysophosphatidic(ACP6)","Homo sapiens"
"ACR","ENSG00000100312","","acrosin(ACR)","Homo sapiens"
"ACRBP","ENSG00000111644","","acrosin binding protein(ACRBP)","Homo sapiens"
"ACSBG1","ENSG00000103740","","acyl-CoA synthetase bubblegum family member 1(ACSBG1)","Homo sapiens"
"ACSF2","ENSG00000167107","","acyl-CoA synthetase family member 2(ACSF2)","Homo sapiens"
"ACSF3","ENSG00000176715","","acyl-CoA synthetase family member 3(ACSF3)","Homo sapiens"
"ACSL1","ENSG00000151726","","acyl-CoA synthetase long chain family member 1(ACSL1)","Homo sapiens"
"ACSL3","ENSG00000123983","","acyl-CoA synthetase long chain family member 3(ACSL3)","Homo sapiens"
"ACSL4","ENSG00000068366","","acyl-CoA synthetase long chain family member 4(ACSL4)","Homo sapiens"
"ACSL5","ENSG00000197142","","acyl-CoA synthetase long chain family member 5(ACSL5)","Homo sapiens"
"ACSM3","ENSG00000005187","","acyl-CoA synthetase medium chain family member 3(ACSM3)","Homo sapiens"
"ACSM5","ENSG00000183549","","acyl-CoA synthetase medium chain family member 5(ACSM5)","Homo sapiens"
"ACSS1","ENSG00000154930","","acyl-CoA synthetase short chain family member 1(ACSS1)","Homo sapiens"
"ACSS2","ENSG00000131069","","acyl-CoA synthetase short chain family member 2(ACSS2)","Homo sapiens"
"ACSS3","ENSG00000111058","","acyl-CoA synthetase short chain family member 3(ACSS3)","Homo sapiens"
"ACTA1","ENSG00000143632","","actin alpha 1, skeletal muscle(ACTA1)","Homo sapiens"
"ACTA2","ENSG00000107796","","actin alpha 2, smooth muscle(ACTA2)","Homo sapiens"
"ACTA2-AS1","ENSG00000180139","","ACTA2 antisense RNA 1(ACTA2-AS1)","Homo sapiens"
"ACTB","ENSG00000075624","","actin beta(ACTB)","Homo sapiens"
"ACTG1","ENSG00000184009","","actin gamma 1(ACTG1)","Homo sapiens"
"ACTG1P14","ENSG00000230581","","actin gamma 1 pseudogene 14(ACTG1P14)","Homo sapiens"
"ACTG2","ENSG00000163017","","actin gamma 2, smooth muscle(ACTG2)","Homo sapiens"
"ACTL6A","ENSG00000136518","","actin like 6A(ACTL6A)","Homo sapiens"
"ACTMAP","ENSG00000188493","","actin maturation protease(ACTMAP)","Homo sapiens"
"ACTN1","ENSG00000072110","","actinin alpha 1(ACTN1)","Homo sapiens"
"ACTN2","ENSG00000077522","","actinin alpha 2(ACTN2)","Homo sapiens"
"ACTN4","ENSG00000130402","","actinin alpha 4(ACTN4)","Homo sapiens"
"ACTR10","ENSG00000131966","","actin related protein 10(ACTR10)","Homo sapiens"
"ACTR1A","ENSG00000138107","","actin related protein 1A(ACTR1A)","Homo sapiens"
"ACTR1B","ENSG00000115073","","actin related protein 1B(ACTR1B)","Homo sapiens"
"ACTR2","ENSG00000138071","","actin related protein 2(ACTR2)","Homo sapiens"
"ACTR3","ENSG00000115091","","actin related protein 3(ACTR3)","Homo sapiens"
"ACTR3B","ENSG00000133627","","actin related protein 3B(ACTR3B)","Homo sapiens"
"ACTR5","ENSG00000101442","","actin related protein 5(ACTR5)","Homo sapiens"
"ACTR6","ENSG00000075089","","actin related protein 6(ACTR6)","Homo sapiens"
"ACTR8","ENSG00000113812","","actin related protein 8(ACTR8)","Homo sapiens"
"ACTRT3","ENSG00000184378","","actin related protein T3(ACTRT3)","Homo sapiens"
"ACVR1","ENSG00000115170","","activin A receptor type 1(ACVR1)","Homo sapiens"
"ACVR1B","ENSG00000135503","","activin A receptor type 1B(ACVR1B)","Homo sapiens"
"ACVR2A","ENSG00000121989","","activin A receptor type 2A(ACVR2A)","Homo sapiens"
"ACVR2B","ENSG00000114739","","activin A receptor type 2B(ACVR2B)","Homo sapiens"
"ACVRL1","ENSG00000139567","","activin A receptor like type 1(ACVRL1)","Homo sapiens"
"ACY1","ENSG00000243989","","aminoacylase 1(ACY1)","Homo sapiens"
"ACY3","ENSG00000132744","","aminoacylase 3(ACY3)","Homo sapiens"
"ACYP1","ENSG00000119640","","acylphosphatase 1(ACYP1)","Homo sapiens"
"ACYP2","ENSG00000170634","","acylphosphatase 2(ACYP2)","Homo sapiens"
"ADA","ENSG00000196839","","adenosine deaminase(ADA)","Homo sapiens"
"ADA2","ENSG00000093072","","adenosine deaminase 2(ADA2)","Homo sapiens"
"ADAM10","ENSG00000137845","","ADAM metallopeptidase domain 10(ADAM10)","Homo sapiens"
"ADAM12","ENSG00000148848","","ADAM metallopeptidase domain 12(ADAM12)","Homo sapiens"
"ADAM15","ENSG00000143537","","ADAM metallopeptidase domain 15(ADAM15)","Homo sapiens"
"ADAM17","ENSG00000151694","","ADAM metallopeptidase domain 17(ADAM17)","Homo sapiens"
"ADAM19","ENSG00000135074","","ADAM metallopeptidase domain 19(ADAM19)","Homo sapiens"
"ADAM28","ENSG00000042980","","ADAM metallopeptidase domain 28(ADAM28)","Homo sapiens"
"ADAM33","ENSG00000149451","","ADAM metallopeptidase domain 33(ADAM33)","Homo sapiens"
"ADAM9","ENSG00000168615","","ADAM metallopeptidase domain 9(ADAM9)","Homo sapiens"
"ADAMDEC1","ENSG00000134028","","ADAM like decysin 1(ADAMDEC1)","Homo sapiens"
"ADAMTS1","ENSG00000154734","","ADAM metallopeptidase with thrombospondin type 1 motif 1(ADAMTS1)","Homo sapiens"
"ADAMTS10","ENSG00000142303","","ADAM metallopeptidase with thrombospondin type 1 motif 10(ADAMTS10)","Homo sapiens"
"ADAMTS12","ENSG00000151388","","ADAM metallopeptidase with thrombospondin type 1 motif 12(ADAMTS12)","Homo sapiens"
"ADAMTS13","ENSG00000160323","","ADAM metallopeptidase with thrombospondin type 1 motif 13(ADAMTS13)","Homo sapiens"
"ADAMTS15","ENSG00000166106","","ADAM metallopeptidase with thrombospondin type 1 motif 15(ADAMTS15)","Homo sapiens"
"ADAMTS16","ENSG00000145536","","ADAM metallopeptidase with thrombospondin type 1 motif 16(ADAMTS16)","Homo sapiens"
"ADAMTS17","ENSG00000140470","","ADAM metallopeptidase with thrombospondin type 1 motif 17(ADAMTS17)","Homo sapiens"
"ADAMTS2","ENSG00000087116","","ADAM metallopeptidase with thrombospondin type 1 motif 2(ADAMTS2)","Homo sapiens"
"ADAMTS3","ENSG00000156140","","ADAM metallopeptidase with thrombospondin type 1 motif 3(ADAMTS3)","Homo sapiens"
"ADAMTS4","ENSG00000158859","","ADAM metallopeptidase with thrombospondin type 1 motif 4(ADAMTS4)","Homo sapiens"
"ADAMTS5","ENSG00000154736","","ADAM metallopeptidase with thrombospondin type 1 motif 5(ADAMTS5)","Homo sapiens"
"ADAMTS7","ENSG00000136378","","ADAM metallopeptidase with thrombospondin type 1 motif 7(ADAMTS7)","Homo sapiens"
"ADAMTS7P3","ENSG00000261143","","ADAMTS7 pseudogene 3(ADAMTS7P3)","Homo sapiens"
"ADAMTS8","ENSG00000134917","","ADAM metallopeptidase with thrombospondin type 1 motif 8(ADAMTS8)","Homo sapiens"
"ADAMTS9","ENSG00000163638","","ADAM metallopeptidase with thrombospondin type 1 motif 9(ADAMTS9)","Homo sapiens"
"ADAMTS9-AS1","ENSG00000241158","","ADAMTS9 antisense RNA 1(ADAMTS9-AS1)","Homo sapiens"
"ADAMTS9-AS2","ENSG00000241684","","ADAMTS9 antisense RNA 2(ADAMTS9-AS2)","Homo sapiens"
"ADAMTSL2","ENSG00000197859","","ADAMTS like 2(ADAMTSL2)","Homo sapiens"
"ADAMTSL3","ENSG00000156218","","ADAMTS like 3(ADAMTSL3)","Homo sapiens"
"ADAMTSL4","ENSG00000143382","","ADAMTS like 4(ADAMTSL4)","Homo sapiens"
"ADAMTSL4-AS1","ENSG00000143384","","ADAMTSL4 antisense RNA 1(ADAMTSL4-AS1)","Homo sapiens"
"ADAMTSL4-AS2","ENSG00000237781","","ADAMTSL4 antisense RNA 2(ADAMTSL4-AS2)","Homo sapiens"
"ADAMTSL5","ENSG00000185761","","ADAMTS like 5(ADAMTSL5)","Homo sapiens"
"ADAP1","ENSG00000105963","","ArfGAP with dual PH domains 1(ADAP1)","Homo sapiens"
"ADAR","ENSG00000160710","","adenosine deaminase RNA specific(ADAR)","Homo sapiens"
"ADARB1","ENSG00000197381","","adenosine deaminase RNA specific B1(ADARB1)","Homo sapiens"
"ADAT1","ENSG00000065457","","adenosine deaminase tRNA specific 1(ADAT1)","Homo sapiens"
"ADAT2","ENSG00000189007","","adenosine deaminase tRNA specific 2(ADAT2)","Homo sapiens"
"ADAT3","ENSG00000213638","","adenosine deaminase tRNA specific 3(ADAT3)","Homo sapiens"
"ADCK2","ENSG00000133597","","aarF domain containing kinase 2(ADCK2)","Homo sapiens"
"ADCK5","ENSG00000173137","","aarF domain containing kinase 5(ADCK5)","Homo sapiens"
"ADCY3","ENSG00000138031","","adenylate cyclase 3(ADCY3)","Homo sapiens"
"ADCY4","ENSG00000129467","","adenylate cyclase 4(ADCY4)","Homo sapiens"
"ADCY5","ENSG00000173175","","adenylate cyclase 5(ADCY5)","Homo sapiens"
"ADCY6","ENSG00000174233","","adenylate cyclase 6(ADCY6)","Homo sapiens"
"ADCY7","ENSG00000121281","","adenylate cyclase 7(ADCY7)","Homo sapiens"
"ADCY9","ENSG00000162104","","adenylate cyclase 9(ADCY9)","Homo sapiens"
"ADD1","ENSG00000087274","","adducin 1(ADD1)","Homo sapiens"
"ADD3","ENSG00000148700","","adducin 3(ADD3)","Homo sapiens"
"ADGRA2","ENSG00000020181","","adhesion G protein-coupled receptor A2(ADGRA2)","Homo sapiens"
"ADGRA3","ENSG00000152990","","adhesion G protein-coupled receptor A3(ADGRA3)","Homo sapiens"
"ADGRB1","ENSG00000181790","","adhesion G protein-coupled receptor B1(ADGRB1)","Homo sapiens"
"ADGRB2","ENSG00000121753","","adhesion G protein-coupled receptor B2(ADGRB2)","Homo sapiens"
"ADGRB3","ENSG00000135298","","adhesion G protein-coupled receptor B3(ADGRB3)","Homo sapiens"
"ADGRD1","ENSG00000111452","","adhesion G protein-coupled receptor D1(ADGRD1)","Homo sapiens"
"ADGRE1","ENSG00000174837","","adhesion G protein-coupled receptor E1(ADGRE1)","Homo sapiens"
"ADGRE2","ENSG00000127507","","adhesion G protein-coupled receptor E2(ADGRE2)","Homo sapiens"
"ADGRE3","ENSG00000131355","","adhesion G protein-coupled receptor E3(ADGRE3)","Homo sapiens"
"ADGRE5","ENSG00000123146","","adhesion G protein-coupled receptor E5(ADGRE5)","Homo sapiens"
"ADGRF1","ENSG00000153292","","adhesion G protein-coupled receptor F1(ADGRF1)","Homo sapiens"
"ADGRF4","ENSG00000153294","","adhesion G protein-coupled receptor F4(ADGRF4)","Homo sapiens"
"ADGRF5","ENSG00000069122","","adhesion G protein-coupled receptor F5(ADGRF5)","Homo sapiens"
"ADGRG1","ENSG00000205336","","adhesion G protein-coupled receptor G1(ADGRG1)","Homo sapiens"
"ADGRG3","ENSG00000182885","","adhesion G protein-coupled receptor G3(ADGRG3)","Homo sapiens"
"ADGRG5","ENSG00000159618","","adhesion G protein-coupled receptor G5(ADGRG5)","Homo sapiens"
"ADGRG6","ENSG00000112414","","adhesion G protein-coupled receptor G6(ADGRG6)","Homo sapiens"
"ADGRL1","ENSG00000072071","","adhesion G protein-coupled receptor L1(ADGRL1)","Homo sapiens"
"ADGRL1-AS1","ENSG00000267169","","ADGRL1 antisense RNA 1(ADGRL1-AS1)","Homo sapiens"
"ADGRL2","ENSG00000117114","","adhesion G protein-coupled receptor L2(ADGRL2)","Homo sapiens"
"ADGRL4","ENSG00000162618","","adhesion G protein-coupled receptor L4(ADGRL4)","Homo sapiens"
"ADH1A","ENSG00000187758","","alcohol dehydrogenase 1A (class I), alpha polypeptide(ADH1A)","Homo sapiens"
"ADH1B","ENSG00000196616","","alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)","Homo sapiens"
"ADH1C","ENSG00000248144","","alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)","Homo sapiens"
"ADH5","ENSG00000197894","","alcohol dehydrogenase 5 (class III), chi polypeptide(ADH5)","Homo sapiens"
"ADHFE1","ENSG00000147576","","alcohol dehydrogenase iron containing 1(ADHFE1)","Homo sapiens"
"ADI1","ENSG00000182551","","acireductone dioxygenase 1(ADI1)","Homo sapiens"
"ADIPOR1","ENSG00000159346","","adiponectin receptor 1(ADIPOR1)","Homo sapiens"
"ADIPOR2","ENSG00000006831","","adiponectin receptor 2(ADIPOR2)","Homo sapiens"
"ADIRF","ENSG00000148671","","adipogenesis regulatory factor(ADIRF)","Homo sapiens"
"ADISSP","ENSG00000101220","","adipose secreted signaling protein(ADISSP)","Homo sapiens"
"ADK","ENSG00000156110","","adenosine kinase(ADK)","Homo sapiens"
"ADM","ENSG00000148926","","adrenomedullin(ADM)","Homo sapiens"
"ADM2","ENSG00000128165","","adrenomedullin 2(ADM2)","Homo sapiens"
"ADM5","ENSG00000224420","","adrenomedullin 5 (putative)(ADM5)","Homo sapiens"
